"<a href='https://www.idigbio.org/portal/recordsets/1ea6c281-e2ca-4e79-80b7-63e27812044c'>Museum of Cultural and Natural History Bird Collection - MCNH-Bird</a>","5,000 Records"
"<a href='https://www.idigbio.org/portal/recordsets/b764863c-de93-4d7c-b0cf-1bb57166141d'>University of Texas at El Paso Biodiversity Collections - Entomology</a>","516 Records"
"<a href='https://www.idigbio.org/portal/recordsets/43362664-f117-47cb-9fc4-56c1a1e8c962'>California State University, Fullerton, and County of Orange, The John D. Cooper Archaeological and Paleontological Center - OCPC</a>","7,441 Records"
"<a href='https://www.idigbio.org/portal/recordsets/459bd81e-63b9-47d2-9818-dceb6657bea0'>University of Michigan Museum of Zoology, Division of Fishes - ummz_fish</a>","188,280 Records"
"<a href='https://www.idigbio.org/portal/recordsets/9c5fea92-a28b-4b6e-94b5-9c939f7369a2'>University of Michigan Museum of Zoology,Mollusks - UMMZ-mollusks</a>","132,570 Records"
"<a href='https://www.idigbio.org/portal/recordsets/1fc07b28-43f5-49d1-badf-63005e1c3e9a'>Texas Lutheran University, Herbarium - TLU</a>","5,416 Records"
"<a href='https://www.idigbio.org/portal/recordsets/d478c23a-1993-443d-85ea-308870606626'>Buffalo Museum of Science, The Clinton Herbarium - BUF</a>","96,726 Records"
"<a href='https://www.idigbio.org/portal/recordsets/6659b6dd-d487-4b72-b0c8-ae65942a6f15'>University of Minnesota, James Ford Bell Museum of Natural History - MIN-Bird</a>","48,470 Records"
"<a href='https://www.idigbio.org/portal/recordsets/2936c837-ad9f-40d8-bea0-58b2a635c637'>University of Minnesota, Bell Museum of Natural History - MIN-Algae</a>","22 Records"
"<a href='https://www.idigbio.org/portal/recordsets/72059315-e131-42ba-b7c6-489415e297b9'>University of Minnesota, Bell Museum of Natural History - JFBM-Mollusks</a>","19,549 Records"
"<a href='https://www.idigbio.org/portal/recordsets/e1c7bc41-50a4-4723-b8b3-f970844ffb65'>University of Minnesota, Bell Museum of Natural History - MIN-Paleobotany</a>","150 Records"
"<a href='https://www.idigbio.org/portal/recordsets/5082e6c8-8f5b-4bf6-a930-e3e6de7bf6fb'>Los Angeles County Natural History Museum - LACM Invertebrate Paleontology</a>","1,001 Records"
"<a href='https://www.idigbio.org/portal/recordsets/dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5'>University of California Riverside - Herbarium - UCR</a>","267,409 Records"
"<a href='https://www.idigbio.org/portal/recordsets/0038ce2e-43bb-4f70-8dd6-dca34efd3fca'>Old Dominion University Herbarium - ODU</a>","1,730 Records"
"<a href='https://www.idigbio.org/portal/recordsets/40d35f62-cf89-488a-bad3-66e66d38c10c'>Highlands Biological Station Herbarium - HBSH</a>","641 Records"
"<a href='https://www.idigbio.org/portal/recordset/a4e6033a-d1eb-46d3-869d-7c0328f09aa7'>Rancho Santa Ana Botanic Garden Herbarium - RSA/POM</a>","516,309 Records"
"<a href='https://www.idigbio.org/portal/recordset/b0099c3d-bc60-42ae-a9a1-d602a2b1e965'>Eastern Michigan University, T. L. Hankinson Vertebrate Museum - EMU Mammals</a>","1,242 Records"
"<a href='https://www.idigbio.org/portal/recordset/ef02b508-69db-449a-a87e-01e4afadec89'>University of Texas, El Paso - UTEP  Zooplankton</a>","134 Records"
"<a href='https://www.idigbio.org/portal/recordset/71e55d91-4c0c-4a13-9421-c732348b0a47'>University of New Mexico - UNM Earth Sciences</a>","145 Records"
"<a href='https://www.idigbio.org/portal/recordset/77e7e6bd-7822-4b84-a46b-39a06abdac2e'>Carnegie Museum of Natural History -  CM Mollusks</a>","145,394 Records"
"<a href='https://www.idigbio.org/portal/recordset/10d835b1-1062-4236-9329-444ed81f624f'>University of New Mexico Museum of Southwestern Biology - MSB Fish</a>","99,074 Records"
"<a href='https://www.idigbio.org/portal/recordset/d78d13a7-3852-4244-ba34-86ef5765fa99'>University of Massachusetts, Amherst - MASS (includes Amherst College - AC)</a>","97,397 Records"
"<a href='https://www.idigbio.org/portal/recordset/64b54f96-91f0-4442-b6de-173aa1a5c31b'>Bartlett Arboretum Herbarium - BART</a>","3,789 Records"
"<a href='https://www.idigbio.org/portal/recordset/a69decc7-76ba-496a-a66e-f91049c02cf0'>Boston University, Stuart K. Harris Herbarium - BSN</a>","40,941 Records"
"<a href='https://www.idigbio.org/portal/recordset/282fe9c2-d6cb-4325-b3b5-b70ab1d22bbb'>Western Connecticut State University Herbarium - WCSU</a>","4,631 Records"
"<a href='https://www.idigbio.org/portal/recordset/ef59f7cc-ed42-45fc-9abc-5edfb2c8caec'>Berea College, Ralph L. Thompson Herbarium - BEREA</a>","12,227 Records"
"<a href='https://www.idigbio.org/portal/recordset/9fab87bf-c5a7-4296-acdc-f22859cfe620'>University of Nevada, Reno, Museum of Natural History - UNR Entomology</a>","1 Records"
"<a href='https://www.idigbio.org/portal/recordset/1320a827-d62a-45b1-9d26-c0aa4790a422'>University of Minnesota - MIN Insect</a>","18,040 Records"
"<a href='https://www.idigbio.org/portal/recordset/f4666aa7-93f0-41f7-83c2-497af7a06887'>Broward College - BROW Insect</a>","76 Records"
"<a href='https://www.idigbio.org/portal/recordset/50ca2a08-0e76-4f56-9976-d344dd201a9b'>University of South Carolina Salkehatchie Herbarium - SALK</a>","275 Records"
"<a href='https://www.idigbio.org/portal/recordset/2e03b83d-d2b9-4a8e-90b5-42b5b1301a92'>Canadian Museum of Nature - CMN Mollusc</a>","44,268 Records"
"<a href='https://www.idigbio.org/portal/recordset/4d9103e7-fe58-4dc5-9fa8-e739949fd3f3'>Canadian Museum of Nature - CMN Fish</a>","60,907 Records"
"<a href='https://www.idigbio.org/portal/recordset/0e0d4dba-9c5d-4dbf-9ac8-09114c56ec03'>Canadian Museum of Nature - CMN Insect</a>","19,051 Records"
"<a href='https://www.idigbio.org/portal/recordset/8057906f-17c9-4e25-b173-4e7fb938078b'>Canadian Museum of Nature - CMN Herbarium</a>","252,155 Records"
"<a href='https://www.idigbio.org/portal/recordset/639ae683-0a66-4a59-9c09-36304bf11424'>Canadian Museum of Nature - CMN Bird</a>","100,970 Records"
"<a href='https://www.idigbio.org/portal/recordset/ba4b4a05-f01f-4b16-b36a-83bf997a8722'>Canadian Museum of Nature - CMN Crustacea</a>","59,780 Records"
"<a href='https://www.idigbio.org/portal/recordset/2148b4f7-a770-4bca-b276-da70ae948690'>Canadian Museum of Nature - CMN General Invertebrate</a>","8,750 Records"
